player_id,name,team_name,year,games,games_started,innings,wins,losses,ERA,WHIP,strikeouts,walks,hits_allowed,home_runs_allowed,K_per_9,BB_per_9,K_per_game,avg_innings_per_start
621112,Paul Blackburn,Oakland Athletics,2022,21,21,111.1,7,6,4.28,1.26,89,30,110,15,7.19,2.43,4.238095238095238,5.29047619047619
608344,Cole Irvin,Oakland Athletics,2022,30,30,181.0,9,13,3.98,1.16,128,36,174,25,6.36,1.79,4.266666666666667,6.033333333333333
641726,Daulton Jefferies,Oakland Athletics,2022,8,8,39.1,1,7,5.72,1.37,28,8,46,4,6.41,1.83,3.5,4.8875
621076,James Kaprielian,Oakland Athletics,2022,26,26,134.0,5,9,4.23,1.34,98,59,121,16,6.58,3.96,3.769230769230769,5.153846153846154
657649,Jared Koenig,Oakland Athletics,2022,10,5,39.1,1,3,5.72,1.4,22,15,40,4,5.03,3.43,4.4,7.82
656657,Zach Logue,Oakland Athletics,2022,14,10,57.0,3,8,6.79,1.54,42,20,68,13,6.63,3.16,4.2,5.7
661309,Adrián Martinez,Oakland Athletics,2022,12,12,57.2,4,6,6.24,1.53,53,19,69,13,8.27,2.97,4.416666666666667,4.766666666666667
593423,Frankie Montas,Oakland Athletics,2022,19,19,104.2,4,9,3.18,1.14,109,28,91,12,9.37,2.41,5.7368421052631575,5.484210526315789
670124,Adam Oller,Oakland Athletics,2022,19,14,74.1,2,8,6.3,1.63,46,39,82,17,5.57,4.72,3.2857142857142856,5.292857142857143
676664,JP Sears,Oakland Athletics,2022,10,9,48.0,3,3,4.69,1.48,36,18,53,7,6.75,3.38,4.0,5.333333333333333
686610,Ken Waldichuk,Oakland Athletics,2022,7,7,34.2,2,2,4.93,1.21,33,10,32,5,8.57,2.6,4.714285714285714,4.885714285714286
595881,Tyler Beede,Pittsburgh Pirates,2022,25,5,51.2,2,5,5.23,1.55,35,23,57,6,6.1,4.01,7.0,10.24
664141,JT Brubaker,Pittsburgh Pirates,2022,28,28,144.0,3,12,4.69,1.47,147,54,157,17,9.19,3.38,5.25,5.142857142857143
672710,Roansy Contreras,Pittsburgh Pirates,2022,21,18,95.0,5,5,3.79,1.27,86,39,82,13,8.15,3.69,4.777777777777778,5.277777777777778
656605,Mitch Keller,Pittsburgh Pirates,2022,31,29,159.0,5,12,3.91,1.4,138,60,162,14,7.81,3.4,4.758620689655173,5.482758620689655
670912,Johan Oviedo,Pittsburgh Pirates,2022,7,7,30.2,2,2,3.23,1.27,28,16,23,1,8.22,4.7,4.0,4.314285714285714
500779,Jose Quintana,Pittsburgh Pirates,2022,20,20,103.0,3,5,3.5,1.27,89,31,100,7,7.78,2.71,4.45,5.15
605507,Zach Thompson,Pittsburgh Pirates,2022,29,22,121.2,3,10,5.18,1.51,90,46,138,19,6.66,3.4,4.090909090909091,5.509090909090909
669060,Bryse Wilson,Pittsburgh Pirates,2022,25,20,115.2,3,9,5.52,1.42,79,32,132,20,6.15,2.49,3.95,5.76
605182,Mike Clevinger,San Diego Padres,2022,23,22,114.1,7,7,4.33,1.2,91,35,102,20,7.16,2.76,4.136363636363637,5.1863636363636365
506433,Yu Darvish,San Diego Padres,2022,30,30,194.2,16,8,3.1,0.95,197,37,148,22,9.11,1.71,6.566666666666666,6.473333333333333
669022,MacKenzie Gore,San Diego Padres,2022,16,13,70.0,4,4,4.5,1.47,72,37,66,7,9.26,4.76,5.538461538461538,5.384615384615385
640455,Sean Manaea,San Diego Padres,2022,30,28,158.0,8,9,4.96,1.3,156,50,155,29,8.89,2.85,5.571428571428571,5.642857142857143
607259,Nick Martinez,San Diego Padres,2022,47,10,106.1,4,4,3.47,1.29,95,41,96,15,8.04,3.47,9.5,10.61
605397,Joe Musgrove,San Diego Padres,2022,30,30,181.0,10,7,2.93,1.08,184,42,154,22,9.15,2.09,6.133333333333334,6.033333333333333
605483,Blake Snell,San Diego Padres,2022,24,24,128.0,8,10,3.38,1.2,171,51,103,11,12.02,3.59,7.125,5.333333333333333
666374,Matt Brash,Seattle Mariners,2022,39,5,50.2,4,4,4.44,1.56,62,33,46,3,11.01,5.86,12.4,10.040000000000001
622491,Luis Castillo,Seattle Mariners,2022,14,14,85.0,4,4,2.86,1.07,90,28,63,7,9.53,2.96,6.428571428571429,6.071428571428571
623167,Chris Flexen,Seattle Mariners,2022,33,22,137.2,8,9,3.73,1.33,95,51,132,17,6.21,3.33,4.318181818181818,6.236363636363635
669302,Logan Gilbert,Seattle Mariners,2022,32,32,185.2,13,6,3.2,1.18,174,49,170,19,8.43,2.38,5.4375,5.7875
594835,Marco Gonzales,Seattle Mariners,2022,32,32,183.0,10,15,4.13,1.33,103,50,194,30,5.07,2.46,3.21875,5.71875
669923,George Kirby,Seattle Mariners,2022,25,25,130.0,8,5,3.39,1.21,133,22,135,13,9.21,1.52,5.32,5.2
592662,Robbie Ray,Seattle Mariners,2022,32,32,189.0,12,12,3.71,1.19,212,62,163,32,10.1,2.95,6.625,5.90625
605154,John Brebbia,San Francisco Giants,2022,76,11,68.0,6,2,3.18,1.31,54,18,71,5,7.15,2.38,4.909090909090909,6.181818181818182
502171,Alex Cobb,San Francisco Giants,2022,28,28,149.2,7,8,3.73,1.3,151,43,152,9,9.08,2.59,5.392857142857143,5.328571428571428
543101,Anthony DeSclafani,San Francisco Giants,2022,5,5,19.0,0,2,6.63,2.0,17,4,34,4,8.05,1.89,3.4,3.8
596001,Jakob Junis,San Francisco Giants,2022,23,17,112.0,5,7,4.42,1.29,98,25,120,13,7.88,2.01,5.764705882352941,6.588235294117647
669674,Sam Long,San Francisco Giants,2022,28,6,42.1,1,3,3.61,1.25,33,14,39,8,7.02,2.98,5.5,7.016666666666667
607074,Carlos Rodón,San Francisco Giants,2022,31,31,178.0,14,8,2.88,1.03,237,52,131,12,11.98,2.63,7.645161290322581,5.741935483870968
657277,Logan Webb,San Francisco Giants,2022,32,32,192.1,15,9,2.9,1.16,163,49,174,11,7.63,2.29,5.09375,6.003125
622072,Alex Wood,San Francisco Giants,2022,26,26,130.2,8,12,5.1,1.24,131,30,132,17,9.02,2.07,5.038461538461538,5.007692307692308
656427,Jack Flaherty,St. Louis Cardinals,2022,9,8,36.0,2,1,4.25,1.61,33,22,36,4,8.25,5.5,4.125,4.5
663855,Jordan Hicks,St. Louis Cardinals,2022,35,8,61.1,3,6,4.84,1.32,63,35,46,5,9.24,5.14,7.875,7.6375
641712,Dakota Hudson,St. Louis Cardinals,2022,27,26,139.2,8,7,4.45,1.45,78,61,141,9,5.03,3.93,3.0,5.3538461538461535
669461,Matthew Liberatore,St. Louis Cardinals,2022,9,7,34.2,2,2,5.97,1.73,28,18,42,5,7.27,4.67,4.0,4.885714285714286
571927,Steven Matz,St. Louis Cardinals,2022,15,10,48.0,5,3,5.25,1.25,54,10,50,8,10.13,1.88,5.4,4.8
571945,Miles Mikolas,St. Louis Cardinals,2022,33,32,202.1,12,13,3.29,1.03,153,39,170,25,6.81,1.73,4.78125,6.315625
656756,Jordan Montgomery,St. Louis Cardinals,2022,21,21,114.2,3,3,3.69,1.1,97,23,103,15,7.61,1.81,4.619047619047619,5.438095238095238
669467,Andre Pallante,St. Louis Cardinals,2022,47,10,108.0,6,5,3.17,1.42,73,40,113,9,6.08,3.33,7.3,10.8
425794,Adam Wainwright,St. Louis Cardinals,2022,32,32,191.2,11,12,3.71,1.28,143,54,192,16,6.71,2.54,4.46875,5.975
669358,Shane Baz,Tampa Bay Rays,2022,6,6,27.0,1,2,5.0,1.33,30,9,27,5,10.0,3.0,5.0,4.5
656222,Jalen Beeks,Tampa Bay Rays,2022,42,7,61.0,2,3,2.8,1.16,70,22,49,7,10.33,3.25,10.0,8.714285714285714
446372,Corey Kluber,Tampa Bay Rays,2022,31,31,164.0,10,10,4.34,1.21,139,21,178,20,7.63,1.15,4.483870967741935,5.290322580645161
663556,Shane McClanahan,Tampa Bay Rays,2022,28,28,166.1,12,8,2.54,0.93,194,38,116,19,10.5,2.06,6.928571428571429,5.932142857142857
672715,Luis Patiño,Tampa Bay Rays,2022,6,6,20.0,1,2,8.1,1.95,11,13,26,6,4.95,5.85,1.8333333333333333,3.3333333333333335
656876,Drew Rasmussen,Tampa Bay Rays,2022,28,28,146.0,11,7,2.84,1.04,125,31,121,13,7.71,1.91,4.464285714285714,5.214285714285714
605488,Jeffrey Springs,Tampa Bay Rays,2022,33,25,135.1,9,5,2.46,1.07,144,31,114,14,9.58,2.06,5.76,5.404
605538,Matt Wisler,Tampa Bay Rays,2022,39,5,44.0,3,3,2.25,1.0,35,14,30,6,7.16,2.86,7.0,8.8
642232,Ryan Yarbrough,Tampa Bay Rays,2022,20,9,80.0,3,8,4.5,1.38,61,22,88,12,6.86,2.48,6.777777777777778,8.88888888888889
456713,Matt Bush,Texas Rangers,2022,40,5,36.2,2,1,2.95,1.01,45,10,27,5,11.05,2.45,9.0,7.24
641540,Dane Dunning,Texas Rangers,2022,29,29,153.1,4,8,4.46,1.43,137,62,158,20,8.04,3.64,4.724137931034483,5.279310344827586
592351,Jon Gray,Texas Rangers,2022,24,24,127.1,7,7,3.96,1.13,134,39,105,17,9.47,2.76,5.583333333333333,5.295833333333333
621368,Taylor Hearn,Texas Rangers,2022,31,13,100.0,6,8,5.13,1.5,97,43,107,11,8.73,3.87,7.461538461538462,7.6923076923076925
675921,Spencer Howard,Texas Rangers,2022,10,8,37.2,2,4,7.41,1.73,32,15,50,12,7.65,3.58,4.0,4.65
572971,Dallas Keuchel,Texas Rangers,2022,8,8,32.0,2,5,7.88,2.16,20,20,49,6,5.63,5.63,2.5,4.0
657248,Glenn Otto Jr.,Texas Rangers,2022,27,27,135.2,7,10,4.64,1.33,107,62,119,21,7.1,4.11,3.962962962962963,5.007407407407407
527048,Martín Pérez,Texas Rangers,2022,32,32,196.1,12,8,2.89,1.26,169,69,178,11,7.75,3.16,5.28125,6.128125
666142,Cole Ragans,Texas Rangers,2022,9,9,40.0,0,3,4.95,1.48,27,16,43,6,6.08,3.6,3.0,4.444444444444445
621244,José Berríos,Toronto Blue Jays,2022,32,32,172.0,12,7,5.23,1.42,149,45,199,29,7.8,2.35,4.65625,5.375
666721,Max Castillo,Toronto Blue Jays,2022,14,6,39.1,0,2,5.95,1.35,37,15,38,8,8.47,3.43,6.166666666666667,6.516666666666667
592332,Kevin Gausman,Toronto Blue Jays,2022,31,31,174.2,12,10,3.35,1.24,205,28,188,15,10.56,1.44,6.612903225806452,5.619354838709677
579328,Yusei Kikuchi,Toronto Blue Jays,2022,32,20,100.2,6,7,5.19,1.5,124,58,93,23,11.09,5.19,6.2,5.01
666201,Alek Manoah,Toronto Blue Jays,2022,31,31,196.2,16,7,2.24,0.99,180,51,144,16,8.24,2.33,5.806451612903226,6.329032258064516
547943,Hyun Jin Ryu,Toronto Blue Jays,2022,6,6,27.0,2,0,5.67,1.33,16,4,32,5,5.33,1.33,2.6666666666666665,4.5
548389,Ross Stripling,Toronto Blue Jays,2022,32,24,134.1,10,4,3.01,1.02,111,20,117,12,7.44,1.34,4.625,5.5874999999999995
669952,Mitch White,Toronto Blue Jays,2022,15,10,56.0,1,2,3.7,1.25,47,19,51,6,7.55,3.05,4.7,5.6
502042,Chris Archer,Minnesota Twins,2022,25,25,102.2,2,8,4.56,1.31,84,48,87,12,7.36,4.21,3.36,4.088
605164,Dylan Bundy,Minnesota Twins,2022,29,29,140.0,8,8,4.89,1.28,94,28,151,24,6.04,1.8,3.2413793103448274,4.827586206896552
592346,Chi Chi González,Minnesota Twins,2022,7,5,23.0,0,1,5.87,1.52,15,7,28,5,5.87,2.74,3.0,4.6
543243,Sonny Gray,Minnesota Twins,2022,24,24,119.2,8,5,3.08,1.13,117,36,99,11,8.8,2.71,4.875,4.966666666666667
641816,Tyler Mahle,Minnesota Twins,2022,19,19,104.1,5,7,4.4,1.25,114,39,91,12,9.83,3.36,6.0,5.478947368421053
641927,Bailey Ober,Minnesota Twins,2022,11,11,56.0,2,3,3.21,1.05,51,11,48,4,8.2,1.77,4.636363636363637,5.090909090909091
663978,Chris Paddack,Minnesota Twins,2022,5,5,22.1,1,2,4.03,1.21,20,2,25,0,8.06,0.81,4.0,4.42
657746,Joe Ryan,Minnesota Twins,2022,27,27,147.0,13,8,3.55,1.1,151,47,115,20,9.24,2.88,5.592592592592593,5.444444444444445
592717,Aaron Sanchez,Minnesota Twins,2022,7,7,31.1,3,3,8.33,1.76,16,8,47,6,4.6,2.3,2.2857142857142856,4.442857142857143
656970,Devin Smeltzer,Minnesota Twins,2022,15,12,70.1,5,2,3.71,1.22,40,19,67,13,5.12,2.43,3.3333333333333335,5.841666666666666
686973,Louis Varland,Minnesota Twins,2022,5,5,26.0,1,2,3.81,1.23,21,6,26,4,7.27,2.08,4.2,5.2
680739,Josh Winder,Minnesota Twins,2022,15,11,67.0,4,6,4.7,1.3,47,18,69,11,6.31,2.42,4.2727272727272725,6.090909090909091
621107,Zach Eflin,Philadelphia Phillies,2022,20,13,75.2,3,5,4.04,1.12,65,15,70,8,7.73,1.78,5.0,5.7846153846153845
663559,Bailey Falter,Philadelphia Phillies,2022,20,16,84.0,6,4,3.86,1.21,74,17,85,16,7.93,1.82,4.625,5.25
502043,Kyle Gibson,Philadelphia Phillies,2022,31,31,167.2,10,8,5.05,1.34,144,48,176,24,7.73,2.58,4.645161290322581,5.393548387096774
605400,Aaron Nola,Philadelphia Phillies,2022,32,32,205.0,11,13,3.25,0.96,235,29,168,19,10.32,1.27,7.34375,6.40625
624133,Ranger Suárez,Philadelphia Phillies,2022,29,29,155.1,10,7,3.65,1.33,129,58,149,15,7.47,3.36,4.448275862068965,5.348275862068966
592789,Noah Syndergaard,Philadelphia Phillies,2022,15,15,80.0,5,8,3.83,1.21,64,22,75,9,7.2,2.48,4.266666666666667,5.333333333333333
554430,Zack Wheeler,Philadelphia Phillies,2022,26,26,153.0,12,7,2.82,1.04,163,34,125,13,9.59,2.0,6.269230769230769,5.884615384615385
666120,Ian Anderson,Atlanta Braves,2022,22,22,111.2,10,6,5.0,1.51,97,54,115,12,7.82,4.35,4.409090909090909,5.054545454545455
656353,Tucker Davidson,Atlanta Braves,2022,8,8,36.2,1,5,6.87,1.66,23,22,39,7,5.65,5.4,2.875,4.525
693821,Bryce Elder,Atlanta Braves,2022,10,9,54.0,2,4,3.17,1.24,47,23,44,4,7.83,3.83,5.222222222222222,6.0
608331,Max Fried,Atlanta Braves,2022,30,30,185.1,14,7,2.48,1.01,170,32,156,12,8.26,1.55,5.666666666666667,6.17
450203,Charlie Morton,Atlanta Braves,2022,31,31,172.0,9,6,4.34,1.23,205,63,149,28,10.73,3.3,6.612903225806452,5.548387096774194
543606,Jake Odorizzi,Atlanta Braves,2022,12,12,60.0,4,3,3.75,1.15,46,17,52,5,6.9,2.55,3.8333333333333335,5.0
675911,Spencer Strider,Atlanta Braves,2022,31,20,131.2,11,5,2.67,0.99,202,45,86,7,13.81,3.08,10.1,6.56
657140,Kyle Wright,Atlanta Braves,2022,30,30,180.1,21,5,3.19,1.16,174,53,156,19,8.68,2.65,5.8,6.003333333333333
656302,Dylan Cease,Chicago White Sox,2022,32,32,184.0,14,8,2.2,1.11,227,78,126,16,11.1,3.82,7.09375,5.75
456501,Johnny Cueto,Chicago White Sox,2022,25,24,158.1,8,10,3.35,1.23,102,33,161,15,5.8,1.88,4.25,6.5874999999999995
608337,Lucas Giolito,Chicago White Sox,2022,30,30,161.2,11,9,4.9,1.44,177,61,171,24,9.85,3.4,5.9,5.373333333333333
656629,Michael Kopech,Chicago White Sox,2022,25,25,119.1,5,9,3.54,1.19,105,57,85,15,7.92,4.3,4.2,4.763999999999999
458681,Lance Lynn,Chicago White Sox,2022,21,21,121.2,8,7,3.99,1.13,124,19,119,19,9.17,1.41,5.904761904761905,5.771428571428571
663436,Davis Martin,Chicago White Sox,2022,14,9,63.1,3,6,4.83,1.29,48,19,63,8,6.82,2.7,5.333333333333333,7.011111111111111
592826,Vince Velasquez,Chicago White Sox,2022,27,9,75.1,3,3,4.78,1.23,69,25,68,11,8.24,2.99,7.666666666666667,8.344444444444443
645261,Sandy Alcantara,Miami Marlins,2022,32,32,228.2,14,9,2.28,0.98,207,50,174,16,8.15,1.97,6.46875,7.13125
665795,Edward Cabrera,Miami Marlins,2022,14,14,71.2,6,4,3.01,1.07,75,33,44,10,9.42,4.14,5.357142857142857,5.085714285714286
641447,Daniel Castano,Miami Marlins,2022,10,7,35.2,1,3,4.04,1.43,20,9,42,5,5.05,2.27,2.857142857142857,5.028571428571429
666129,Braxton Garrett,Miami Marlins,2022,17,17,88.0,3,7,3.58,1.25,90,24,86,9,9.2,2.45,5.294117647058823,5.176470588235294
622694,Elieser Hernández,Miami Marlins,2022,20,10,62.1,3,6,6.35,1.43,60,22,67,19,8.66,3.18,6.0,6.21
641154,Pablo López,Miami Marlins,2022,32,32,180.0,10,10,3.75,1.17,174,53,157,21,8.7,2.65,5.4375,5.625
666200,Jesús Luzardo,Miami Marlins,2022,18,18,100.1,4,7,3.32,1.04,120,35,69,10,10.76,3.14,6.666666666666667,5.561111111111111
669432,Trevor Rogers,Miami Marlins,2022,23,23,107.0,4,11,5.47,1.5,106,45,116,15,8.92,3.79,4.608695652173913,4.6521739130434785
543037,Gerrit Cole,New York Yankees,2022,33,33,200.2,13,8,3.5,1.02,257,50,154,33,11.53,2.24,7.787878787878788,6.066666666666666
641482,Nestor Cortes,New York Yankees,2022,28,28,158.1,12,4,2.44,0.92,163,38,108,16,9.27,2.16,5.821428571428571,5.646428571428571
593334,Domingo Germán,New York Yankees,2022,15,14,72.1,2,5,3.61,1.16,58,19,65,11,7.22,2.36,4.142857142857143,5.1499999999999995
622663,Luis Severino,New York Yankees,2022,19,19,102.0,7,3,3.18,1.0,112,30,72,14,9.88,2.65,5.894736842105263,5.368421052631579
592791,Jameson Taillon,New York Yankees,2022,32,32,177.1,14,5,3.91,1.13,151,32,168,26,7.66,1.62,4.71875,5.534375
669920,Jason Alexander,Milwaukee Brewers,2022,18,11,71.2,2,3,5.4,1.62,46,28,88,12,5.78,3.52,4.181818181818182,6.472727272727273
676879,Aaron Ashby,Milwaukee Brewers,2022,27,19,107.1,2,10,4.44,1.43,126,47,106,15,10.57,3.94,6.631578947368421,5.636842105263158
