player_id,name,team_name,year,games,at_bats,plate_appearances,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,BA,OBP,SLG,OPS,hits_per_game,HR_per_game,K_rate
609280,Miguel Andujar,Oakland Athletics,2024,75,302,319,86,14,1,4,30,13,42,3,0.285,0.32,0.377,0.697,1.1466666666666667,0.05333333333333334,0.13166144200626959
668709,JJ Bleday,Oakland Athletics,2024,159,572,642,139,43,4,20,60,67,125,2,0.243,0.324,0.437,0.761,0.8742138364779874,0.12578616352201258,0.19470404984423675
664913,Seth Brown,Oakland Athletics,2024,124,372,400,86,11,1,14,44,25,112,4,0.231,0.283,0.379,0.662,0.6935483870967742,0.11290322580645161,0.28
671732,Lawrence Butler,Oakland Athletics,2024,125,412,451,108,24,2,22,57,35,108,18,0.262,0.317,0.49,0.807,0.864,0.176,0.2394678492239468
663662,Daz Cameron,Oakland Athletics,2024,66,170,186,34,5,1,5,15,13,51,5,0.2,0.258,0.329,0.587,0.5151515151515151,0.07575757575757576,0.27419354838709675
605204,J.D. Davis,Oakland Athletics,2024,39,123,135,29,4,0,4,5,9,30,0,0.236,0.304,0.366,0.67,0.7435897435897436,0.10256410256410256,0.2222222222222222
605204,J.D. Davis,Oakland Athletics,2024,46,142,157,31,5,0,4,6,12,39,0,0.218,0.293,0.338,0.631,0.6739130434782609,0.08695652173913043,0.2484076433121019
680869,Zack Gelof,Oakland Athletics,2024,138,497,547,105,20,2,17,49,38,188,25,0.211,0.27,0.362,0.632,0.7608695652173914,0.12318840579710146,0.3436928702010969
695391,Brett Harris,Oakland Athletics,2024,36,103,123,15,3,0,3,12,17,25,0,0.146,0.276,0.262,0.538,0.4166666666666667,0.08333333333333333,0.2032520325203252
687231,Darell Hernaiz,Oakland Athletics,2024,48,120,135,23,3,0,1,12,11,27,1,0.192,0.261,0.242,0.503,0.4791666666666667,0.020833333333333332,0.2
669127,Shea Langeliers,Oakland Athletics,2024,137,482,534,108,18,2,29,80,41,145,4,0.224,0.288,0.45,0.738,0.7883211678832117,0.2116788321167883,0.27153558052434457
668832,Kyle McCann,Oakland Athletics,2024,54,140,157,33,4,0,5,15,16,59,0,0.236,0.318,0.371,0.689,0.6111111111111112,0.09259259259259259,0.37579617834394907
663527,Tyler Nevin,Oakland Athletics,2024,87,245,278,50,10,0,7,20,25,64,1,0.204,0.288,0.331,0.619,0.5747126436781609,0.08045977011494253,0.2302158273381295
667670,Brent Rooker,Oakland Athletics,2024,145,546,614,160,26,2,39,112,59,177,11,0.293,0.365,0.562,0.927,1.103448275862069,0.2689655172413793,0.28827361563517917
