player_id,name,team_name,year,games,games_started,innings,wins,losses,ERA,WHIP,strikeouts,walks,hits_allowed,home_runs_allowed,K_per_9,BB_per_9,K_per_game,avg_innings_per_start
572020,James Paxton,Boston Red Sox,2023,19,19,96.0,7,5,4.5,1.31,101,33,93,18,9.47,3.09,5.315789473684211,5.052631578947368
601713,Nick Pivetta,Boston Red Sox,2023,38,16,142.2,10,9,4.04,1.12,183,50,110,23,11.54,3.15,11.4375,8.8875
519242,Chris Sale,Boston Red Sox,2023,20,20,102.2,6,5,4.3,1.13,125,29,87,15,10.96,2.54,6.25,5.11
676477,Garrett Whitlock,Boston Red Sox,2023,22,10,71.2,5,5,5.15,1.33,72,13,82,13,9.04,1.63,7.2,7.12
665871,Javier Assad,Chicago Cubs,2023,32,10,109.1,5,3,3.05,1.23,94,41,93,13,7.74,3.38,9.4,10.91
543294,Kyle Hendricks,Chicago Cubs,2023,24,24,137.0,6,8,3.74,1.2,93,27,138,13,6.11,1.77,3.875,5.708333333333333
592767,Drew Smyly,Chicago Cubs,2023,41,23,142.1,11,11,5.0,1.43,141,56,147,26,8.92,3.54,6.130434782608695,6.178260869565217
657006,Justin Steele,Chicago Cubs,2023,30,30,173.1,16,5,3.06,1.17,176,36,167,14,9.14,1.87,5.866666666666666,5.77
573186,Marcus Stroman,Chicago Cubs,2023,27,25,136.2,10,9,3.95,1.26,119,52,120,9,7.84,3.42,4.76,5.4479999999999995
592791,Jameson Taillon,Chicago Cubs,2023,30,29,154.1,8,10,4.84,1.28,140,41,156,27,8.16,2.39,4.827586206896552,5.313793103448275
669713,Hayden Wesneski,Chicago Cubs,2023,34,11,89.1,3,5,4.63,1.28,83,32,82,20,8.36,3.22,7.545454545454546,8.1
696136,Jordan Wicks,Chicago Cubs,2023,7,7,34.2,4,1,4.41,1.27,24,11,33,5,6.23,2.86,3.4285714285714284,4.885714285714286
671096,Andrew Abbott,Cincinnati Reds,2023,21,21,109.1,8,6,3.87,1.32,120,44,100,16,9.88,3.62,5.714285714285714,5.1952380952380945
668933,Graham Ashcraft,Cincinnati Reds,2023,26,26,145.2,7,9,4.76,1.37,111,52,148,23,6.86,3.21,4.269230769230769,5.584615384615384
570666,Luis Cessa,Cincinnati Reds,2023,7,6,26.0,1,4,9.0,2.23,11,12,46,3,3.81,4.15,1.8333333333333333,4.333333333333333
668881,Hunter Greene,Cincinnati Reds,2023,22,22,112.0,4,7,4.82,1.42,152,48,111,19,12.21,3.86,6.909090909090909,5.090909090909091
594902,Ben Lively,Cincinnati Reds,2023,19,12,88.2,4,7,5.38,1.36,79,25,96,20,8.02,2.54,6.583333333333333,7.3500000000000005
666157,Nick Lodolo,Cincinnati Reds,2023,7,7,34.1,2,1,6.29,1.75,47,10,50,10,12.32,2.62,6.714285714285714,4.871428571428572
683175,Connor Phillips,Cincinnati Reds,2023,5,5,20.2,1,1,6.97,1.5,26,13,18,5,11.32,5.66,5.2,4.04
682227,Brandon Williamson,Cincinnati Reds,2023,23,23,117.0,5,5,4.46,1.28,98,39,111,18,7.54,3.0,4.260869565217392,5.086956521739131
671106,Logan Allen,Cleveland Guardians,2023,24,24,125.1,7,8,3.81,1.4,119,48,127,16,8.55,3.45,4.958333333333333,5.2124999999999995
