year,team_id,team_name,team_abbr,BA,OBP,SLG,R,H,HR,BB_hit,SO_hit,SB,OPS,ERA,WHIP,SO_pitch,BB_pitch,RA,SV
2023,133,Oakland Athletics,OAK,0.223,0.298,0.37,585,1187,171,498,1496,149,.668,5.48,1.52,1300,694,924,29
2023,134,Pittsburgh Pirates,PIT,0.239,0.315,0.392,692,1293,159,556,1464,117,.707,4.6,1.38,1363,596,790,47
2023,135,San Diego Padres,SD,0.244,0.329,0.413,752,1316,205,653,1311,137,.742,3.73,1.27,1445,557,648,36
2023,136,Seattle Mariners,SEA,0.242,0.321,0.413,758,1332,210,548,1603,118,.734,3.74,1.19,1459,421,659,44
2023,137,San Francisco Giants,SF,0.235,0.312,0.383,674,1271,174,544,1492,57,.695,4.02,1.25,1359,403,719,50
2023,138,St. Louis Cardinals,STL,0.25,0.326,0.416,719,1376,209,570,1326,101,.742,4.79,1.46,1215,530,829,36
2023,139,Tampa Bay Rays,TB,0.26,0.331,0.445,860,1432,230,514,1420,160,.776,3.86,1.18,1507,439,665,45
2023,140,Texas Rangers,TEX,0.263,0.337,0.452,881,1470,233,599,1416,79,.789,4.28,1.27,1351,491,716,30
2023,141,Toronto Blue Jays,TOR,0.256,0.329,0.417,746,1423,188,550,1303,99,.746,3.78,1.25,1528,488,671,51
2023,142,Minnesota Twins,MIN,0.243,0.326,0.428,778,1336,233,594,1654,86,.754,3.87,1.2,1560,443,659,38
2023,143,Philadelphia Phillies,PHI,0.256,0.327,0.438,796,1417,220,539,1481,141,.765,4.03,1.24,1454,470,715,45
2023,144,Atlanta Braves,ATL,0.276,0.344,0.501,947,1543,307,538,1289,132,.845,4.14,1.3,1516,534,716,52
2023,145,Chicago White Sox,CWS,0.238,0.291,0.384,641,1308,171,377,1424,86,.675,4.87,1.42,1470,654,841,28
2023,146,Miami Marlins,MIA,0.259,0.316,0.405,666,1423,166,430,1287,86,.721,4.21,1.29,1490,514,723,43
2023,147,New York Yankees,NYY,0.227,0.304,0.397,673,1207,219,557,1427,100,.701,3.97,1.24,1439,508,698,44
2023,158,Milwaukee Brewers,MIL,0.24,0.319,0.385,728,1290,165,591,1412,129,.704,3.71,1.19,1425,493,647,46
2023,108,Los Angeles Angels,LAA,0.245,0.317,0.426,739,1346,231,518,1524,72,.743,4.64,1.42,1445,636,829,43
2023,109,Arizona Diamondbacks,AZ,0.25,0.322,0.408,746,1359,166,540,1247,166,.730,4.48,1.32,1351,525,761,44
2023,110,Baltimore Orioles,BAL,0.255,0.321,0.421,807,1399,183,512,1370,114,.742,3.89,1.24,1431,473,678,49
2023,111,Boston Red Sox,BOS,0.258,0.324,0.424,772,1437,182,486,1372,112,.748,4.52,1.34,1423,497,776,43
2023,112,Chicago Cubs,CHC,0.254,0.33,0.421,819,1399,196,570,1391,140,.751,4.08,1.28,1377,513,723,35
2023,113,Cincinnati Reds,CIN,0.249,0.327,0.42,783,1371,198,556,1500,190,.747,4.83,1.42,1381,613,821,53
2023,114,Cleveland Guardians,CLE,0.25,0.313,0.381,662,1379,124,471,1142,151,.694,3.96,1.31,1311,534,697,47
2023,115,Colorado Rockies,COL,0.249,0.31,0.405,721,1368,163,447,1543,76,.715,5.67,1.55,1129,586,957,32
2023,116,Detroit Tigers,DET,0.236,0.305,0.382,661,1292,165,508,1473,85,.687,4.24,1.25,1374,476,740,41
2023,117,Houston Astros,HOU,0.259,0.331,0.437,827,1441,222,550,1241,107,.768,3.94,1.28,1460,537,698,42
2023,118,Kansas City Royals,KC,0.244,0.303,0.398,676,1325,163,411,1396,163,.701,5.17,1.41,1270,553,859,28
2023,119,Los Angeles Dodgers,LAD,0.257,0.34,0.455,906,1422,249,644,1359,105,.795,4.06,1.2,1388,454,699,44
2023,120,Washington Nationals,WSH,0.254,0.314,0.396,700,1401,151,423,1149,127,.710,5.02,1.47,1225,592,845,42
2023,121,New York Mets,NYM,0.238,0.316,0.407,717,1276,215,525,1331,118,.723,4.3,1.36,1397,595,729,34
