year,team_id,team_name,team_abbr,BA,OBP,SLG,R,H,HR,BB_hit,SO_hit,SB,OPS,ERA,WHIP,SO_pitch,BB_pitch,RA,SV
2022,133,Oakland Athletics,OAK,0.216,0.281,0.346,568,1147,137,433,1389,78,.627,4.52,1.33,1203,503,770,34
2022,134,Pittsburgh Pirates,PIT,0.222,0.291,0.364,591,1186,158,476,1497,89,.655,4.66,1.42,1250,586,817,33
2022,135,San Diego Padres,SD,0.241,0.318,0.382,705,1317,153,574,1327,49,.700,3.81,1.2,1451,468,660,48
2022,136,Seattle Mariners,SEA,0.23,0.315,0.39,690,1236,197,596,1397,83,.705,3.59,1.19,1391,447,623,40
2022,137,San Francisco Giants,SF,0.234,0.315,0.389,716,1260,183,571,1462,64,.704,3.85,1.28,1370,441,697,39
2022,138,St. Louis Cardinals,STL,0.252,0.325,0.42,772,1386,197,537,1226,95,.745,3.79,1.27,1177,489,637,37
2022,139,Tampa Bay Rays,TB,0.239,0.309,0.377,666,1294,139,500,1395,95,.686,3.41,1.15,1384,384,614,44
2022,140,Texas Rangers,TEX,0.239,0.301,0.395,707,1308,198,456,1446,128,.696,4.22,1.34,1314,581,743,37
2022,141,Toronto Blue Jays,TOR,0.264,0.329,0.431,775,1464,200,500,1242,67,.760,3.87,1.23,1390,424,679,46
2022,142,Minnesota Twins,MIN,0.248,0.317,0.401,696,1356,178,518,1353,38,.718,3.98,1.24,1336,468,684,28
2022,143,Philadelphia Phillies,PHI,0.253,0.317,0.422,747,1392,205,478,1363,105,.739,3.97,1.26,1423,463,685,42
2022,144,Atlanta Braves,ATL,0.253,0.317,0.443,789,1394,243,470,1498,87,.760,3.46,1.19,1554,500,609,55
2022,145,Chicago White Sox,CWS,0.256,0.31,0.387,686,1435,149,388,1269,58,.697,3.92,1.29,1450,533,717,48
2022,146,Miami Marlins,MIA,0.23,0.294,0.363,586,1241,144,436,1429,122,.657,3.87,1.27,1437,511,676,41
2022,147,New York Yankees,NYY,0.241,0.325,0.426,807,1308,254,620,1391,102,.751,3.3,1.12,1459,444,567,47
2022,158,Milwaukee Brewers,MIL,0.235,0.315,0.409,725,1271,219,577,1464,96,.724,3.83,1.22,1530,521,688,52
2022,108,Los Angeles Angels,LAA,0.233,0.297,0.39,623,1265,190,449,1539,77,.687,3.77,1.24,1383,540,668,38
2022,109,Arizona Diamondbacks,AZ,0.23,0.304,0.385,702,1232,173,531,1341,104,.689,4.25,1.29,1216,504,740,33
2022,110,Baltimore Orioles,BAL,0.236,0.305,0.39,674,1281,171,476,1390,95,.695,3.97,1.29,1214,443,688,46
2022,111,Boston Red Sox,BOS,0.258,0.321,0.409,735,1427,155,478,1373,52,.730,4.53,1.35,1346,526,787,39
2022,112,Chicago Cubs,CHC,0.238,0.311,0.387,657,1293,159,507,1448,111,.698,4.0,1.3,1383,540,731,44
2022,113,Cincinnati Reds,CIN,0.235,0.304,0.372,648,1264,156,452,1430,58,.676,4.86,1.39,1414,612,815,31
2022,114,Cleveland Guardians,CLE,0.254,0.316,0.383,698,1410,127,450,1122,119,.699,3.46,1.16,1390,435,634,51
2022,115,Colorado Rockies,COL,0.254,0.315,0.398,698,1408,149,453,1330,45,.713,5.06,1.44,1187,539,873,43
2022,116,Detroit Tigers,DET,0.231,0.286,0.346,557,1240,110,380,1413,47,.632,4.04,1.3,1195,511,713,38
2022,117,Houston Astros,HOU,0.248,0.319,0.424,737,1341,214,528,1179,83,.743,2.9,1.09,1524,458,518,53
2022,118,Kansas City Royals,KC,0.244,0.306,0.38,640,1327,138,460,1287,104,.686,4.7,1.47,1191,589,810,33
2022,119,Los Angeles Dodgers,LAD,0.257,0.333,0.442,847,1418,212,607,1374,98,.775,2.8,1.05,1465,407,513,43
2022,120,Washington Nationals,WSH,0.249,0.31,0.377,603,1351,136,442,1221,75,.687,5.0,1.44,1220,558,855,28
2022,121,New York Mets,NYM,0.259,0.332,0.412,772,1422,171,510,1217,62,.744,3.57,1.18,1565,428,606,41
