game_id,date,year,home_team,home_abbr,away_team,away_abbr,home_score,away_score,home_win,winning_team,losing_team,home_pitcher,away_pitcher,venue
777683,2025-06-01,2025,Cleveland Guardians,114,Los Angeles Angels,108,4,2,1,Cleveland Guardians,Los Angeles Angels,Gavin Williams,Jack Kochanowicz,Progressive Field
777686,2025-06-01,2025,New York Mets,121,Colorado Rockies,115,5,3,1,New York Mets,Colorado Rockies,Clay Holmes,Carson Palmquist,Citi Field
777689,2025-06-01,2025,Miami Marlins,146,San Francisco Giants,137,2,4,0,San Francisco Giants,Miami Marlins,Ryan Weathers,Hayden Birdsong,loanDepot park
777677,2025-06-01,2025,Kansas City Royals,118,Detroit Tigers,116,0,1,0,Detroit Tigers,Kansas City Royals,Kris Bubic,Keider Montero,Kauffman Stadium
777690,2025-06-01,2025,Houston Astros,117,Tampa Bay Rays,139,1,0,1,Houston Astros,Tampa Bay Rays,Hunter Brown,Taj Bradley,Daikin Park
777687,2025-06-01,2025,Chicago Cubs,112,Cincinnati Reds,113,7,3,1,Chicago Cubs,Cincinnati Reds,Jameson Taillon,Nick Martinez,Wrigley Field
777679,2025-06-01,2025,Arizona Diamondbacks,109,Washington Nationals,120,3,1,1,Arizona Diamondbacks,Washington Nationals,Corbin Burnes,Mitchell Parker,Chase Field
777680,2025-06-01,2025,Seattle Mariners,136,Minnesota Twins,142,2,1,1,Seattle Mariners,Minnesota Twins,Luis Castillo,Chris Paddack,T-Mobile Park
777681,2025-06-01,2025,San Diego Padres,135,Pittsburgh Pirates,134,6,4,1,San Diego Padres,Pittsburgh Pirates,Randy Vásquez,Andrew Heaney,Petco Park
777682,2025-06-01,2025,Los Angeles Dodgers,119,New York Yankees,147,3,7,0,New York Yankees,Los Angeles Dodgers,Yoshinobu Yamamoto,Ryan Yarbrough,Dodger Stadium
777673,2025-06-02,2025,Miami Marlins,146,Colorado Rockies,115,4,6,0,Colorado Rockies,Miami Marlins,Max Meyer,Germán Márquez,loanDepot park
777670,2025-06-02,2025,Boston Red Sox,111,Los Angeles Angels,108,6,7,0,Los Angeles Angels,Boston Red Sox,Richard Fitts,Tyler Anderson,Fenway Park
777671,2025-06-02,2025,Cincinnati Reds,113,Milwaukee Brewers,158,2,3,0,Milwaukee Brewers,Cincinnati Reds,Brady Singer,Aaron Civale,Great American Ball Park
777674,2025-06-02,2025,Chicago White Sox,145,Detroit Tigers,116,1,13,0,Detroit Tigers,Chicago White Sox,Jonathan Cannon,Jack Flaherty,Rate Field
777676,2025-06-02,2025,San Francisco Giants,137,San Diego Padres,135,0,1,0,San Diego Padres,San Francisco Giants,Logan Webb,Stephen Kolek,Oracle Park
777669,2025-06-02,2025,Athletics,133,Minnesota Twins,142,4,10,0,Minnesota Twins,Athletics,Luis Severino,Joe Ryan,Sutter Health Park
777675,2025-06-02,2025,Los Angeles Dodgers,119,New York Mets,121,3,4,0,New York Mets,Los Angeles Dodgers,Dustin May,Paul Blackburn,Dodger Stadium
777663,2025-06-03,2025,Pittsburgh Pirates,134,Houston Astros,117,0,3,0,Houston Astros,Pittsburgh Pirates,Paul Skenes,Lance McCullers Jr.,PNC Park
777666,2025-06-03,2025,Miami Marlins,146,Colorado Rockies,115,2,3,0,Colorado Rockies,Miami Marlins,Sandy Alcantara,Chase Dollander,loanDepot park
777659,2025-06-03,2025,Washington Nationals,120,Chicago Cubs,112,3,8,0,Chicago Cubs,Washington Nationals,Trevor Williams,Cade Horton,Nationals Park
777664,2025-06-03,2025,New York Yankees,147,Cleveland Guardians,114,3,2,1,New York Yankees,Cleveland Guardians,Carlos Rodón,Tanner Bibee,Yankee Stadium
777665,2025-06-03,2025,Toronto Blue Jays,141,Philadelphia Phillies,143,3,8,0,Philadelphia Phillies,Toronto Blue Jays,Bowden Francis,Cristopher Sánchez,Rogers Centre
777667,2025-06-03,2025,Boston Red Sox,111,Los Angeles Angels,108,3,4,0,Los Angeles Angels,Boston Red Sox,Brayan Bello,Yusei Kikuchi,Fenway Park
777668,2025-06-03,2025,Cincinnati Reds,113,Milwaukee Brewers,158,4,2,1,Cincinnati Reds,Milwaukee Brewers,Hunter Greene,Freddy Peralta,Great American Ball Park
777672,2025-06-03,2025,Atlanta Braves,144,Arizona Diamondbacks,109,3,8,0,Arizona Diamondbacks,Atlanta Braves,Spencer Strider,Zac Gallen,Truist Park
777662,2025-06-03,2025,Tampa Bay Rays,139,Texas Rangers,140,5,1,1,Tampa Bay Rays,Texas Rangers,Drew Rasmussen,Tyler Mahle,George M. Steinbrenner Field
777661,2025-06-03,2025,Chicago White Sox,145,Detroit Tigers,116,8,1,1,Chicago White Sox,Detroit Tigers,Shane Smith,Beau Brieske,Rate Field
777660,2025-06-03,2025,St. Louis Cardinals,138,Kansas City Royals,118,7,10,0,Kansas City Royals,St. Louis Cardinals,Andre Pallante,Michael Lorenzen,Busch Stadium
777655,2025-06-03,2025,Seattle Mariners,136,Baltimore Orioles,110,1,5,0,Baltimore Orioles,Seattle Mariners,George Kirby,Tomoyuki Sugano,T-Mobile Park
777656,2025-06-03,2025,San Francisco Giants,137,San Diego Padres,135,2,3,0,San Diego Padres,San Francisco Giants,Landen Roupp,Ryan Bergert,Oracle Park
777658,2025-06-03,2025,Athletics,133,Minnesota Twins,142,3,10,0,Minnesota Twins,Athletics,Grant Holman,Pablo López,Sutter Health Park
777657,2025-06-03,2025,Los Angeles Dodgers,119,New York Mets,121,6,5,1,Los Angeles Dodgers,New York Mets,Clayton Kershaw,Tylor Megill,Dodger Stadium
777652,2025-06-04,2025,Miami Marlins,146,Colorado Rockies,115,2,3,0,Colorado Rockies,Miami Marlins,Cal Quantrill,Kyle Freeland,loanDepot park
777647,2025-06-04,2025,Cincinnati Reds,113,Milwaukee Brewers,158,1,9,0,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,DL Hall,Great American Ball Park
777649,2025-06-04,2025,Boston Red Sox,111,Los Angeles Angels,108,11,9,1,Boston Red Sox,Los Angeles Angels,Lucas Giolito,José Soriano,Fenway Park
777648,2025-06-04,2025,Pittsburgh Pirates,134,Houston Astros,117,3,0,1,Pittsburgh Pirates,Houston Astros,Mike Burrows,Ryan Gusto,PNC Park
777650,2025-06-04,2025,Washington Nationals,120,Chicago Cubs,112,2,0,1,Washington Nationals,Chicago Cubs,MacKenzie Gore,Matthew Boyd,Nationals Park
777653,2025-06-04,2025,New York Yankees,147,Cleveland Guardians,114,0,4,0,Cleveland Guardians,New York Yankees,Clarke Schmidt,Luis Ortiz,Yankee Stadium
777651,2025-06-04,2025,Toronto Blue Jays,141,Philadelphia Phillies,143,2,1,1,Toronto Blue Jays,Philadelphia Phillies,José Berríos,Mick Abel,Rogers Centre
777654,2025-06-04,2025,Atlanta Braves,144,Arizona Diamondbacks,109,1,2,0,Arizona Diamondbacks,Atlanta Braves,Chris Sale,Merrill Kelly,Truist Park
777646,2025-06-04,2025,Tampa Bay Rays,139,Texas Rangers,140,5,4,1,Tampa Bay Rays,Texas Rangers,Shane Baz,Kumar Rocker,George M. Steinbrenner Field
777639,2025-06-04,2025,Chicago White Sox,145,Detroit Tigers,116,4,5,0,Detroit Tigers,Chicago White Sox,Jared Shuster,Sawyer Gipson-Long,Rate Field
