player_id,name,team_name,year,games,at_bats,plate_appearances,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,BA,OBP,SLG,OPS,hits_per_game,HR_per_game,K_rate
665833,Oneil Cruz,Pittsburgh Pirates,2022,87,331,361,77,13,4,17,54,28,126,10,0.233,0.294,0.45,0.744,0.8850574712643678,0.19540229885057472,0.3490304709141274
641511,Jason Delay,Pittsburgh Pirates,2022,57,155,167,33,6,0,1,11,9,50,0,0.213,0.265,0.271,0.536,0.5789473684210527,0.017543859649122806,0.2994011976047904
592325,Ben Gamel,Pittsburgh Pirates,2022,115,371,423,86,20,2,9,46,48,98,5,0.232,0.324,0.369,0.693,0.7478260869565218,0.0782608695652174,0.23167848699763594
663647,Ke'Bryan Hayes,Pittsburgh Pirates,2022,136,505,560,123,24,3,7,41,48,122,20,0.244,0.314,0.345,0.659,0.9044117647058824,0.051470588235294115,0.21785714285714286
623168,Tyler Heineman,Pittsburgh Pirates,2022,52,142,158,30,6,0,0,8,8,13,1,0.211,0.277,0.254,0.531,0.5769230769230769,0.0,0.08227848101265822
623168,Tyler Heineman,Pittsburgh Pirates,2022,62,157,174,34,8,0,0,9,8,17,1,0.217,0.276,0.268,0.544,0.5483870967741935,0.0,0.09770114942528736
676632,Bligh Madris,Pittsburgh Pirates,2022,39,113,123,20,7,0,1,7,10,31,2,0.177,0.244,0.265,0.509,0.5128205128205128,0.02564102564102564,0.25203252032520324
672779,Tucupita Marcano,Pittsburgh Pirates,2022,49,160,177,33,6,2,2,13,10,44,2,0.206,0.256,0.306,0.562,0.673469387755102,0.04081632653061224,0.24858757062146894
668751,Cal Mitchell,Pittsburgh Pirates,2022,69,212,232,48,11,0,5,17,18,52,3,0.226,0.286,0.349,0.635,0.6956521739130435,0.07246376811594203,0.22413793103448276
621028,Kevin Newman,Pittsburgh Pirates,2022,78,288,309,79,18,2,2,24,16,48,8,0.274,0.316,0.372,0.688,1.0128205128205128,0.02564102564102564,0.1553398058252427
605421,Michael Pérez,Pittsburgh Pirates,2022,39,107,116,16,0,0,6,11,8,26,1,0.15,0.209,0.318,0.527,0.41025641025641024,0.15384615384615385,0.22413793103448276
605421,Michael Pérez,Pittsburgh Pirates,2022,45,121,132,18,0,0,6,14,10,32,1,0.149,0.214,0.298,0.512,0.4,0.13333333333333333,0.24242424242424243
668804,Bryan Reynolds,Pittsburgh Pirates,2022,145,542,614,142,19,4,27,62,56,141,7,0.262,0.345,0.461,0.806,0.9793103448275862,0.18620689655172415,0.2296416938110749
669261,Jack Suwinski,Pittsburgh Pirates,2022,106,326,372,66,11,0,19,38,41,114,4,0.202,0.298,0.411,0.709,0.6226415094339622,0.1792452830188679,0.3064516129032258
660294,Yoshi Tsutsugo,Pittsburgh Pirates,2022,50,170,193,29,4,0,2,19,19,50,0,0.171,0.249,0.229,0.478,0.58,0.04,0.25906735751295334
642165,Josh VanMeter,Pittsburgh Pirates,2022,67,171,192,32,5,2,3,14,19,45,4,0.187,0.266,0.292,0.558,0.47761194029850745,0.04477611940298507,0.234375
596129,Daniel Vogelbach,Pittsburgh Pirates,2022,75,237,278,54,10,1,12,34,40,67,0,0.228,0.338,0.43,0.768,0.72,0.16,0.24100719424460432
596129,Daniel Vogelbach,Pittsburgh Pirates,2022,55,149,183,38,9,0,6,25,33,47,0,0.255,0.393,0.436,0.829,0.6909090909090909,0.10909090909090909,0.2568306010928962
596129,Daniel Vogelbach,Pittsburgh Pirates,2022,130,386,461,92,19,1,18,59,73,114,0,0.238,0.36,0.433,0.793,0.7076923076923077,0.13846153846153847,0.2472885032537961
682928,CJ Abrams,San Diego Padres,2022,46,125,139,29,5,0,2,11,4,27,1,0.232,0.285,0.32,0.605,0.6304347826086957,0.043478260869565216,0.19424460431654678
682928,CJ Abrams,San Diego Padres,2022,44,159,163,41,7,2,0,10,1,23,6,0.258,0.276,0.327,0.603,0.9318181818181818,0.0,0.1411042944785276
682928,CJ Abrams,San Diego Padres,2022,90,284,302,70,12,2,2,21,5,50,7,0.246,0.28,0.324,0.604,0.7777777777777778,0.022222222222222223,0.16556291390728478
642727,Sergio Alcántara,San Diego Padres,2022,71,170,186,41,8,1,6,26,10,45,1,0.241,0.283,0.406,0.689,0.5774647887323944,0.08450704225352113,0.24193548387096775
642727,Sergio Alcántara,San Diego Padres,2022,93,205,224,45,8,1,6,29,12,57,1,0.22,0.261,0.356,0.617,0.4838709677419355,0.06451612903225806,0.2544642857142857
595751,Jorge Alfaro,San Diego Padres,2022,82,256,274,63,14,0,7,40,11,98,1,0.246,0.285,0.383,0.668,0.7682926829268293,0.08536585365853659,0.35766423357664234
640492,José Azocar,San Diego Padres,2022,98,202,216,52,9,3,0,10,12,44,5,0.257,0.298,0.332,0.63,0.5306122448979592,0.0,0.2037037037037037
605137,Josh Bell,San Diego Padres,2022,103,375,437,113,24,3,14,57,49,61,0,0.301,0.384,0.493,0.877,1.0970873786407767,0.13592233009708737,0.13958810068649885
605137,Josh Bell,San Diego Padres,2022,53,177,210,34,5,0,3,14,32,41,0,0.192,0.316,0.271,0.587,0.6415094339622641,0.05660377358490566,0.19523809523809524
605137,Josh Bell,San Diego Padres,2022,156,552,647,147,29,3,17,71,81,102,0,0.266,0.362,0.422,0.784,0.9423076923076923,0.10897435897435898,0.15765069551777433
429664,Robinson Canó,San Diego Padres,2022,33,100,104,15,1,0,1,4,4,25,0,0.15,0.183,0.19,0.373,0.45454545454545453,0.030303030303030304,0.2403846153846154
630105,Jake Cronenworth,San Diego Padres,2022,158,587,684,140,30,4,17,88,70,131,3,0.239,0.332,0.39,0.722,0.8860759493670886,0.10759493670886076,0.1915204678362573
592273,Brandon Drury,San Diego Padres,2022,92,350,385,96,22,2,20,59,29,84,2,0.274,0.335,0.52,0.855,1.0434782608695652,0.21739130434782608,0.21818181818181817
592273,Brandon Drury,San Diego Padres,2022,46,168,183,40,9,0,8,28,9,42,0,0.238,0.29,0.435,0.725,0.8695652173913043,0.17391304347826086,0.22950819672131148
592273,Brandon Drury,San Diego Padres,2022,138,518,568,136,31,2,28,87,38,126,2,0.263,0.32,0.492,0.812,0.9855072463768116,0.2028985507246377,0.22183098591549297
663757,Trent Grisham,San Diego Padres,2022,152,451,524,83,16,2,17,53,57,150,7,0.184,0.284,0.341,0.625,0.5460526315789473,0.1118421052631579,0.2862595419847328
543333,Eric Hosmer,San Diego Padres,2022,90,335,369,91,16,0,8,40,33,55,0,0.272,0.336,0.391,0.727,1.011111111111111,0.08888888888888889,0.14905149051490515
543333,Eric Hosmer,San Diego Padres,2022,104,380,419,102,19,0,8,44,37,64,0,0.268,0.334,0.382,0.716,0.9807692307692307,0.07692307692307693,0.15274463007159905
673490,Ha-Seong Kim,San Diego Padres,2022,150,517,582,130,29,3,11,59,51,100,12,0.251,0.325,0.383,0.708,0.8666666666666667,0.07333333333333333,0.1718213058419244
592518,Manny Machado,San Diego Padres,2022,150,578,644,172,37,1,32,102,63,133,9,0.298,0.366,0.531,0.897,1.1466666666666667,0.21333333333333335,0.20652173913043478
608577,Nomar Mazara,San Diego Padres,2022,55,159,171,42,8,0,2,18,10,40,0,0.264,0.316,0.352,0.668,0.7636363636363637,0.03636363636363636,0.23391812865497075
571976,Wil Myers,San Diego Padres,2022,77,261,286,68,15,0,7,41,21,86,2,0.261,0.315,0.398,0.713,0.8831168831168831,0.09090909090909091,0.3006993006993007
543592,Austin Nola,San Diego Padres,2022,110,347,397,87,15,0,4,40,34,60,2,0.251,0.321,0.329,0.65,0.7909090909090909,0.03636363636363636,0.15113350125944586
595777,Jurickson Profar,San Diego Padres,2022,152,575,658,140,36,2,15,58,73,103,5,0.243,0.331,0.391,0.722,0.9210526315789473,0.09868421052631579,0.15653495440729484
665742,Juan Soto,San Diego Padres,2022,101,342,436,84,17,1,21,46,91,62,6,0.246,0.408,0.485,0.893,0.8316831683168316,0.2079207920792079,0.14220183486238533
665742,Juan Soto,San Diego Padres,2022,52,182,228,43,8,1,6,16,44,34,0,0.236,0.388,0.39,0.778,0.8269230769230769,0.11538461538461539,0.14912280701754385
665742,Juan Soto,San Diego Padres,2022,153,524,664,127,25,2,27,62,135,96,6,0.242,0.401,0.452,0.853,0.8300653594771242,0.17647058823529413,0.14457831325301204
572204,Trayce Thompson,San Diego Padres,2022,74,205,239,55,14,1,13,39,30,86,4,0.268,0.364,0.537,0.901,0.7432432432432432,0.17567567567567569,0.3598326359832636
572204,Trayce Thompson,San Diego Padres,2022,80,219,255,56,14,1,13,41,32,93,4,0.256,0.353,0.507,0.86,0.7,0.1625,0.36470588235294116
572228,Luke Voit,San Diego Padres,2022,82,298,344,67,18,0,13,48,39,110,1,0.225,0.317,0.416,0.733,0.8170731707317073,0.15853658536585366,0.31976744186046513
572228,Luke Voit,San Diego Padres,2022,53,202,224,46,4,0,9,21,16,69,0,0.228,0.295,0.381,0.676,0.8679245283018868,0.16981132075471697,0.3080357142857143
572228,Luke Voit,San Diego Padres,2022,135,500,568,113,22,0,22,69,55,179,1,0.226,0.308,0.402,0.71,0.837037037037037,0.16296296296296298,0.31514084507042256
592200,Curt Casali,Seattle Mariners,2022,41,108,126,25,3,0,4,14,15,36,0,0.231,0.325,0.37,0.695,0.6097560975609756,0.0975609756097561,0.2857142857142857
592200,Curt Casali,Seattle Mariners,2022,57,148,176,30,4,0,5,17,24,50,0,0.203,0.318,0.331,0.649,0.5263157894736842,0.08771929824561403,0.2840909090909091
641487,J.P. Crawford,Seattle Mariners,2022,145,518,603,126,24,3,6,42,68,80,3,0.243,0.339,0.336,0.675,0.8689655172413793,0.041379310344827586,0.13266998341625208
645801,Mike Ford,Seattle Mariners,2022,50,131,149,27,5,0,3,10,17,40,0,0.206,0.302,0.313,0.615,0.54,0.06,0.2684563758389262
664034,Ty France,Seattle Mariners,2022,140,551,613,151,27,1,20,83,35,94,0,0.274,0.338,0.436,0.774,1.0785714285714285,0.14285714285714285,0.1533442088091354
624428,Adam Frazier,Seattle Mariners,2022,156,541,602,129,22,4,3,42,46,73,11,0.238,0.301,0.311,0.612,0.8269230769230769,0.019230769230769232,0.1212624584717608
664059,Sam Haggerty,Seattle Mariners,2022,83,176,201,45,9,1,5,23,18,53,13,0.256,0.335,0.403,0.738,0.5421686746987951,0.060240963855421686,0.263681592039801
571745,Mitch Haniger,Seattle Mariners,2022,57,224,247,55,8,0,11,34,20,65,0,0.246,0.308,0.429,0.737,0.9649122807017544,0.19298245614035087,0.2631578947368421
672284,Jarred Kelenic,Seattle Mariners,2022,54,163,181,23,5,1,7,17,16,61,5,0.141,0.221,0.313,0.534,0.42592592592592593,0.12962962962962962,0.3370165745856354
664238,Dylan Moore,Seattle Mariners,2022,104,205,255,46,11,2,6,24,34,75,21,0.224,0.368,0.385,0.753,0.4423076923076923,0.057692307692307696,0.29411764705882354
663728,Cal Raleigh,Seattle Mariners,2022,119,370,415,78,20,1,27,63,38,122,1,0.211,0.284,0.489,0.773,0.6554621848739496,0.226890756302521,0.29397590361445786
677594,Julio Rodríguez,Seattle Mariners,2022,132,511,560,145,25,3,28,75,40,145,25,0.284,0.345,0.509,0.854,1.0984848484848484,0.21212121212121213,0.25892857142857145
467793,Carlos Santana,Seattle Mariners,2022,52,176,212,38,10,0,4,21,36,28,0,0.216,0.349,0.341,0.69,0.7307692307692307,0.07692307692307693,0.1320754716981132
467793,Carlos Santana,Seattle Mariners,2022,79,255,294,49,8,0,15,39,35,60,0,0.192,0.293,0.4,0.693,0.620253164556962,0.189873417721519,0.20408163265306123
467793,Carlos Santana,Seattle Mariners,2022,131,431,506,87,18,0,19,60,71,88,0,0.202,0.316,0.376,0.692,0.6641221374045801,0.1450381679389313,0.17391304347826086
553993,Eugenio Suárez,Seattle Mariners,2022,150,543,629,128,24,2,31,87,73,196,0,0.236,0.332,0.459,0.791,0.8533333333333334,0.20666666666666667,0.31160572337042924
647351,Abraham Toro,Seattle Mariners,2022,109,324,352,60,13,1,10,35,22,65,2,0.185,0.239,0.324,0.563,0.5504587155963303,0.09174311926605505,0.1846590909090909
620443,Luis Torrens,Seattle Mariners,2022,57,151,166,34,2,0,3,15,12,50,0,0.225,0.283,0.298,0.581,0.5964912280701754,0.05263157894736842,0.30120481927710846
666211,Taylor Trammell,Seattle Mariners,2022,43,102,117,20,9,0,4,10,13,33,2,0.196,0.284,0.402,0.686,0.46511627906976744,0.09302325581395349,0.28205128205128205
608385,Jesse Winker,Seattle Mariners,2022,136,456,547,100,15,0,14,53,84,103,0,0.219,0.344,0.344,0.688,0.7352941176470589,0.10294117647058823,0.1882998171846435
663698,Joey Bart,San Francisco Giants,2022,97,261,291,56,6,0,11,25,26,112,2,0.215,0.296,0.364,0.66,0.5773195876288659,0.1134020618556701,0.3848797250859107
474832,Brandon Belt,San Francisco Giants,2022,78,254,298,54,9,1,8,23,37,81,1,0.213,0.326,0.35,0.676,0.6923076923076923,0.10256410256410256,0.27181208053691275
543063,Brandon Crawford,San Francisco Giants,2022,118,407,458,94,15,2,9,52,39,98,1,0.231,0.308,0.344,0.652,0.7966101694915254,0.07627118644067797,0.21397379912663755
605204,J.D. Davis,San Francisco Giants,2022,66,181,207,43,8,1,4,21,20,66,1,0.238,0.324,0.359,0.683,0.6515151515151515,0.06060606060606061,0.3188405797101449
605204,J.D. Davis,San Francisco Giants,2022,49,137,158,36,8,0,8,14,19,56,0,0.263,0.361,0.496,0.857,0.7346938775510204,0.16326530612244897,0.35443037974683544
605204,J.D. Davis,San Francisco Giants,2022,115,318,365,79,16,1,12,35,39,122,1,0.248,0.34,0.418,0.758,0.6869565217391305,0.10434782608695652,0.33424657534246577
643289,Mauricio Dubón,San Francisco Giants,2022,83,197,216,41,8,0,3,16,12,26,2,0.208,0.254,0.294,0.548,0.4939759036144578,0.03614457831325301,0.12037037037037036
643289,Mauricio Dubón,San Francisco Giants,2022,104,243,265,52,9,0,5,24,13,30,2,0.214,0.252,0.313,0.565,0.5,0.04807692307692308,0.11320754716981132
642731,Thairo Estrada,San Francisco Giants,2022,140,488,541,127,22,2,14,62,33,89,21,0.26,0.322,0.4,0.722,0.9071428571428571,0.1,0.1645101663585952
527038,Wilmer Flores,San Francisco Giants,2022,151,525,602,120,28,1,19,71,59,103,0,0.229,0.316,0.394,0.71,0.7947019867549668,0.12582781456953643,0.17109634551495018
670768,Luis González,San Francisco Giants,2022,98,311,350,78,17,2,4,36,30,75,10,0.251,0.32,0.357,0.677,0.7959183673469388,0.04081632653061224,0.21428571428571427
600303,Tommy La Stella,San Francisco Giants,2022,60,180,195,43,14,0,2,14,11,30,0,0.239,0.282,0.35,0.632,0.7166666666666667,0.03333333333333333,0.15384615384615385
446334,Evan Longoria,San Francisco Giants,2022,89,266,298,65,13,0,14,42,27,83,0,0.244,0.315,0.451,0.766,0.7303370786516854,0.15730337078651685,0.2785234899328859
592626,Joc Pederson,San Francisco Giants,2022,134,380,433,104,19,3,23,70,42,100,3,0.274,0.353,0.521,0.874,0.7761194029850746,0.17164179104477612,0.23094688221709006
573131,Darin Ruf,San Francisco Giants,2022,90,268,314,58,9,0,11,38,40,85,2,0.216,0.328,0.373,0.701,0.6444444444444445,0.12222222222222222,0.27070063694267515
573131,Darin Ruf,San Francisco Giants,2022,119,334,388,68,12,0,11,45,45,105,2,0.204,0.307,0.338,0.645,0.5714285714285714,0.09243697478991597,0.2706185567010309
596103,Austin Slater,San Francisco Giants,2022,125,277,325,73,15,2,7,34,40,89,12,0.264,0.366,0.408,0.774,0.584,0.056,0.27384615384615385
681584,David Villar,San Francisco Giants,2022,52,156,181,36,6,1,9,24,18,58,0,0.231,0.331,0.455,0.786,0.6923076923076923,0.17307692307692307,0.32044198895027626
664774,LaMonte Wade Jr.,San Francisco Giants,2022,77,217,251,45,7,1,8,26,26,51,1,0.207,0.305,0.359,0.664,0.5844155844155844,0.1038961038961039,0.20318725099601595
663897,Luke Williams,San Francisco Giants,2022,71,115,124,27,4,1,1,3,9,40,11,0.235,0.29,0.313,0.603,0.38028169014084506,0.014084507042253521,0.3225806451612903
663897,Luke Williams,San Francisco Giants,2022,79,127,136,30,5,1,1,6,9,44,11,0.236,0.287,0.315,0.602,0.379746835443038,0.012658227848101266,0.3235294117647059
642851,Austin Wynns,San Francisco Giants,2022,66,162,177,42,7,0,3,21,10,38,0,0.259,0.313,0.358,0.671,0.6363636363636364,0.045454545454545456,0.21468926553672316
573262,Mike Yastrzemski,San Francisco Giants,2022,148,485,558,104,31,2,17,57,61,141,5,0.214,0.305,0.392,0.697,0.7027027027027027,0.11486486486486487,0.25268817204301075
571448,Nolan Arenado,St. Louis Cardinals,2022,148,557,620,163,42,1,30,103,52,72,5,0.293,0.358,0.533,0.891,1.1013513513513513,0.20270270270270271,0.11612903225806452
664056,Harrison Bader,St. Louis Cardinals,2022,72,246,264,63,7,3,5,21,13,47,15,0.256,0.303,0.37,0.673,0.875,0.06944444444444445,0.17803030303030304
664056,Harrison Bader,St. Louis Cardinals,2022,86,292,313,73,10,3,5,30,15,62,17,0.25,0.294,0.356,0.65,0.8488372093023255,0.05813953488372093,0.19808306709265175
666185,Dylan Carlson,St. Louis Cardinals,2022,128,432,488,102,30,4,8,42,45,94,5,0.236,0.316,0.38,0.696,0.796875,0.0625,0.19262295081967212
657557,Paul DeJong,St. Louis Cardinals,2022,77,210,237,33,9,0,6,25,21,79,3,0.157,0.245,0.286,0.531,0.42857142857142855,0.07792207792207792,0.3333333333333333
572816,Corey Dickerson,St. Louis Cardinals,2022,97,281,297,75,17,1,6,36,12,48,0,0.267,0.3,0.399,0.699,0.7731958762886598,0.061855670103092786,0.16161616161616163
680977,Brendan Donovan,St. Louis Cardinals,2022,126,391,468,110,21,1,5,45,60,70,2,0.281,0.394,0.379,0.773,0.873015873015873,0.03968253968253968,0.14957264957264957
669242,Tommy Edman,St. Louis Cardinals,2022,153,577,630,153,31,4,13,57,46,111,32,0.265,0.324,0.4,0.724,1.0,0.08496732026143791,0.1761904761904762
502671,Paul Goldschmidt,St. Louis Cardinals,2022,151,561,651,178,41,0,35,115,79,141,7,0.317,0.404,0.578,0.982,1.1788079470198676,0.23178807947019867,0.21658986175115208
669357,Nolan Gorman,St. Louis Cardinals,2022,89,283,313,64,13,0,14,35,28,103,1,0.226,0.3,0.42,0.72,0.7191011235955056,0.15730337078651685,0.329073482428115
668800,Andrew Knizner,St. Louis Cardinals,2022,97,260,293,56,10,0,4,25,26,62,0,0.215,0.301,0.3,0.601,0.5773195876288659,0.041237113402061855,0.21160409556313994
425877,Yadier Molina,St. Louis Cardinals,2022,80,262,270,56,8,0,5,24,5,40,2,0.214,0.233,0.302,0.535,0.7,0.0625,0.14814814814814814
